Quantidade ,Nome do Produto / Anúncio,Status,ID do produto,Tipos de Anúncios,Localização / Palavra-Chave,Data de Início,Data de Encerramento,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto
46,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,black,8/12/22 0:00,Ilimitado,1735,26,1.50%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,3.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
47,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogenico,8/12/22 0:00,Ilimitado,531,10,1.88%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.15,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
48,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,café termogênico,8/12/22 0:00,Ilimitado,234,7,2.99%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.83,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
49,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,cafeína termogênico,8/12/22 0:00,Ilimitado,1249,47,3.76%,2,2,4.26%,4.26%,2.93,2.93,3,3,117.00,117.00,5.86,19.97,19.97,5.01%,5.01%,N/A,N/A,N/A
50,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogênico black,8/12/22 0:00,Ilimitado,478,9,1.88%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.09,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
51,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,lipo 6 black intense,8/12/22 0:00,Ilimitado,1027,13,1.27%,1,1,7.69%,7.69%,1.58,1.58,1,1,39.00,39.00,1.58,24.68,24.68,4.05%,4.05%,N/A,N/A,N/A
52,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,café termogênico,8/12/22 0:00,Ilimitado,1,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
53,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogenico black mamba,8/12/22 0:00,Ilimitado,143,4,2.80%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.50,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
54,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogênico max,8/12/22 0:00,Ilimitado,200,6,3.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.68,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
55,21222940131,Encerrado,21222940131,Anúncio de Busca de Produtos,termogênico max titanium,8/12/22 0:00,Ilimitado,227,7,3.08%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.85,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
