Nome do Produto,Status,ID do produto,Tipos de Anuncios,localizacao-palavra-chave-dropdown,Data de Inicio,Data de Encerramento,Impressao,Cliques,CTR,Conversoes,Conversoes Diretas,Taxa de Conversao,Taxa de Conversao Direta,Custo por Conversao,Custo por Conversao Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressoes do Produto,Cliques de Produtos,CTR do Produto,Impressao por venda efetiva
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,thermo black,12/08/2022 00:00,Ilimitado,184,2,1.09%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.25,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,café termogênico,12/08/2022 00:00,Ilimitado,1,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,lipo 6 black original,12/08/2022 00:00,Ilimitado,494,9,1.82%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,01.01,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogênico max,12/08/2022 00:00,Ilimitado,167,5,2.99%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.57,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,cafeína termogênico,12/08/2022 00:00,Ilimitado,1020,38,3.73%,2,2,5.26%,5.26%,2.38,2.38,3,3,117.00,117.00,4.77,24.53,24.53,4.08%,4.08%,N/A,N/A,N/A,340
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogênico max titanium,12/08/2022 00:00,Ilimitado,213,7,3.29%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.85,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogênicos,12/08/2022 00:00,Ilimitado,214,4,1.87%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.46,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogenico black mamba,12/08/2022 00:00,Ilimitado,130,3,2.31%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.36,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,lipo 6 black ultra concentrado,12/08/2022 00:00,Ilimitado,365,6,1.64%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.72,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,black viper termogênico,12/08/2022 00:00,Ilimitado,321,7,2.18%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.83,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
